epoch | loss | sim_loss | var_pred | var_target | cov_pred | cov_target | feat_std | feat_std_ctx | feat_norm | val_loss | val_sim_loss | val_var_pred | val_var_target | val_cov_pred | val_cov_target | val_feat_std | val_feat_std_ctx | val_feat_norm
1 | 5.4588 | 0.3923 | 0.8338 | 0.1879 | 1.4307 | 38.3071 | 0.1659 | 0.8558 | 3.6545 | 7.5005 | 0.3663 | 0.8925 | 0.1550 | 24.4880 | 36.1415 | 0.1070 | 0.9121 | 2.4802
2 | 2.0957 | 0.3739 | 0.8143 | 0.0506 | 1.2992 | 6.4098 | 0.1855 | 0.9715 | 3.9259 | 5.4056 | 0.3511 | 0.8527 | 0.1212 | 15.3899 | 24.8778 | 0.1469 | 0.9243 | 3.2364
3 | 1.8697 | 0.3595 | 0.8059 | 0.0465 | 1.3088 | 4.3035 | 0.1939 | 0.9329 | 4.0969 | 4.6531 | 0.3408 | 0.8305 | 0.1057 | 12.5765 | 20.4262 | 0.1692 | 0.8754 | 3.6929
4 | 1.7740 | 0.3514 | 0.8012 | 0.0437 | 1.3065 | 3.4434 | 0.1986 | 0.8633 | 4.1909 | 4.4018 | 0.3355 | 0.8194 | 0.0989 | 11.8163 | 18.7753 | 0.1803 | 0.7984 | 3.9361
5 | 1.7317 | 0.3485 | 0.7993 | 0.0439 | 1.3108 | 3.0361 | 0.2005 | 0.7708 | 4.2303 | 4.3290 | 0.3333 | 0.8147 | 0.0997 | 11.6106 | 18.2562 | 0.1851 | 0.6983 | 4.0372
6 | 1.7099 | 0.3467 | 0.7983 | 0.0475 | 1.3168 | 2.7881 | 0.2015 | 0.6618 | 4.2521 | 4.2603 | 0.3319 | 0.8109 | 0.1014 | 11.1948 | 17.9727 | 0.1888 | 0.5886 | 4.1157
7 | 1.6915 | 0.3449 | 0.7975 | 0.0516 | 1.3260 | 2.5685 | 0.2023 | 0.5519 | 4.2705 | 4.1730 | 0.3303 | 0.8088 | 0.1008 | 11.0112 | 17.2967 | 0.1910 | 0.4880 | 4.1625
8 | 1.6784 | 0.3423 | 0.7963 | 0.0567 | 1.3336 | 2.3987 | 0.2035 | 0.4574 | 4.2946 | 4.1379 | 0.3286 | 0.8047 | 0.1051 | 10.7424 | 17.1783 | 0.1951 | 0.4067 | 4.2437
9 | 1.6764 | 0.3406 | 0.7958 | 0.0647 | 1.3407 | 2.3046 | 0.2040 | 0.3844 | 4.3070 | 4.1630 | 0.3274 | 0.8047 | 0.1125 | 10.8042 | 17.2979 | 0.1951 | 0.3457 | 4.2613
10 | 1.6809 | 0.3395 | 0.7958 | 0.0743 | 1.3448 | 2.2591 | 0.2040 | 0.3322 | 4.3109 | 4.0861 | 0.3262 | 0.8030 | 0.1205 | 10.3586 | 16.8998 | 0.1968 | 0.3039 | 4.3002
11 | 1.6895 | 0.3382 | 0.7959 | 0.0844 | 1.3463 | 2.2528 | 0.2039 | 0.2989 | 4.3133 | 4.1146 | 0.3270 | 0.8022 | 0.1300 | 10.2197 | 17.2106 | 0.1976 | 0.2796 | 4.3314
12 | 1.7010 | 0.3372 | 0.7963 | 0.0945 | 1.3461 | 2.2760 | 0.2035 | 0.2821 | 4.3100 | 4.2091 | 0.3257 | 0.8051 | 0.1408 | 10.4186 | 17.8605 | 0.1947 | 0.2688 | 4.2893
13 | 1.7130 | 0.3361 | 0.7965 | 0.1037 | 1.3478 | 2.3108 | 0.2033 | 0.2759 | 4.3118 | 4.2258 | 0.3259 | 0.8054 | 0.1500 | 10.2488 | 18.0966 | 0.1944 | 0.2655 | 4.2963
14 | 1.7169 | 0.3343 | 0.7966 | 0.1127 | 1.3480 | 2.2728 | 0.2032 | 0.2753 | 4.3175 | 4.1891 | 0.3236 | 0.8053 | 0.1574 | 10.1608 | 17.7570 | 0.1945 | 0.2669 | 4.3138
15 | 1.7220 | 0.3327 | 0.7968 | 0.1228 | 1.3477 | 2.2358 | 0.2030 | 0.2796 | 4.3213 | 4.1693 | 0.3225 | 0.8056 | 0.1689 | 10.0365 | 17.5701 | 0.1941 | 0.2709 | 4.3234
16 | 1.7309 | 0.3317 | 0.7972 | 0.1312 | 1.3470 | 2.2484 | 0.2026 | 0.2849 | 4.3193 | 4.1762 | 0.3221 | 0.8061 | 0.1777 | 9.9672 | 17.6174 | 0.1936 | 0.2762 | 4.3273
17 | 1.7383 | 0.3308 | 0.7975 | 0.1388 | 1.3466 | 2.2537 | 0.2023 | 0.2901 | 4.3176 | 4.2144 | 0.3204 | 0.8070 | 0.1839 | 10.1723 | 17.7395 | 0.1927 | 0.2813 | 4.3281
18 | 1.7435 | 0.3300 | 0.7977 | 0.1455 | 1.3467 | 2.2457 | 0.2021 | 0.2950 | 4.3156 | 4.2056 | 0.3199 | 0.8057 | 0.1895 | 10.0585 | 17.7052 | 0.1940 | 0.2852 | 4.3630
19 | 1.7503 | 0.3293 | 0.7980 | 0.1521 | 1.3463 | 2.2556 | 0.2018 | 0.2996 | 4.3102 | 4.2341 | 0.3194 | 0.8073 | 0.1943 | 10.0176 | 17.9897 | 0.1925 | 0.2903 | 4.3339
20 | 1.7535 | 0.3285 | 0.7981 | 0.1576 | 1.3461 | 2.2414 | 0.2017 | 0.3044 | 4.3092 | 4.2490 | 0.3188 | 0.8086 | 0.1999 | 10.1364 | 17.9703 | 0.1912 | 0.2945 | 4.3136
21 | 1.7567 | 0.3276 | 0.7981 | 0.1627 | 1.3456 | 2.2322 | 0.2017 | 0.3087 | 4.3070 | 4.2125 | 0.3179 | 0.8085 | 0.2040 | 9.9460 | 17.7616 | 0.1912 | 0.2987 | 4.3203
22 | 1.7597 | 0.3263 | 0.7982 | 0.1676 | 1.3456 | 2.2256 | 0.2016 | 0.3130 | 4.3053 | 4.2315 | 0.3158 | 0.8081 | 0.2077 | 10.1663 | 17.7118 | 0.1916 | 0.3030 | 4.3310
23 | 1.7604 | 0.3250 | 0.7982 | 0.1710 | 1.3456 | 2.2131 | 0.2016 | 0.3172 | 4.3046 | 4.1955 | 0.3154 | 0.8080 | 0.2109 | 9.9600 | 17.5277 | 0.1917 | 0.3064 | 4.3360
24 | 1.7615 | 0.3238 | 0.7983 | 0.1752 | 1.3458 | 2.1943 | 0.2015 | 0.3212 | 4.3018 | 4.2040 | 0.3141 | 0.8104 | 0.2142 | 10.0585 | 17.5011 | 0.1893 | 0.3107 | 4.2882
25 | 1.7618 | 0.3227 | 0.7984 | 0.1789 | 1.3455 | 2.1727 | 0.2014 | 0.3252 | 4.2974 | 4.2335 | 0.3135 | 0.8095 | 0.2160 | 10.3735 | 17.4641 | 0.1902 | 0.3147 | 4.3114
26 | 1.7616 | 0.3219 | 0.7985 | 0.1818 | 1.3459 | 2.1509 | 0.2012 | 0.3298 | 4.2940 | 4.2409 | 0.3115 | 0.8098 | 0.2198 | 10.3748 | 17.5170 | 0.1899 | 0.3191 | 4.3053
